,Author,Title,State,District,DateBan,Country,Description
2701,"Arnold, Elana K.",Damsel,Florida,Flagler Schools,2023-04-01,USA,Banned from Libraries and Classrooms
2702,"Arnold, Elana K.",Damsel,Florida,Marion County Public Schools,2022-09-01,USA,Banned Pending Investigation
2703,"Arnold, Elana K.",Damsel,Florida,Martin County Schools,2023-02-01,USA,Banned from Libraries and Classrooms
2704,"Arnold, Elana K.",Damsel,Florida,School District of Manatee County,2022-07-01,USA,Banned from Libraries
2705,"Arnold, Elana K.",Damsel,Florida,Volusia County Schools,2023-06-01,USA,Banned from Libraries and Classrooms
2706,"Arnold, Elana K.",Damsel,North Carolina,Pender County Schools,2023-02-01,USA,Banned Pending Investigation
2707,"Arnold, Elana K.",Damsel,North Dakota,Williston Basin School District #7,2022-09-01,USA,Banned Pending Investigation
2708,"Arnold, Elana K.",Damsel,Pennsylvania,Penncrest School District,2023-02-01,USA,Banned Pending Investigation
2709,"Arnold, Elana K.",Damsel,South Carolina,Beaufort County School District,2022-10-01,USA,Banned Pending Investigation
2710,"Arnold, Elana K.",Damsel,Texas,Conroe Independent School District,2023-01-01,USA,Banned from Libraries and Classrooms
2711,"Arnold, Elana K.",Damsel,Texas,Frisco Independent School District,2022-08-01,USA,Banned from Libraries and Classrooms
2712,"Arnold, Elana K.",Damsel,Utah,Alpine School District,2022-11-01,USA,Banned from Libraries and Classrooms
2713,"Arnold, Elana K.",Damsel,Utah,Davis School District,2022-12-01,USA,Banned from Libraries and Classrooms
2714,"Arnold, Elana K.",Damsel,Utah,Washington County School District,2022-07-01,USA,Banned from Libraries and Classrooms
2715,"Arnold, Elana K.",Damsel,Wisconsin,School District of Somerset,2023-02-01,USA,Banned Pending Investigation
2716,"Arnold, Elana K.",Infandous,Florida,Escambia County Public Schools,2022-09-01,USA,Banned Pending Investigation
2717,"Arnold, Elana K.",Infandous,Florida,Marion County Public Schools,2022-09-01,USA,Banned Pending Investigation
2718,"Arnold, Elana K.",Infandous,Pennsylvania,Penncrest School District,2023-02-01,USA,Banned Pending Investigation
2719,"Arnold, Elana K.",Infandous,Utah,Canyons School District,2022-09-01,USA,Banned from Libraries and Classrooms
2720,"Arnold, Elana K.",Infandous,Utah,Davis School District,2022-11-01,USA,Banned from Libraries and Classrooms
2721,"Arnold, Elana K.",Red Hood,Florida,Clay County School District,2022-09-01,USA,Banned from Libraries and Classrooms
2722,"Arnold, Elana K.",Red Hood,Florida,Escambia County Public Schools,2022-09-01,USA,Banned Pending Investigation
2723,"Arnold, Elana K.",Red Hood,Florida,Marion County Public Schools,2022-09-01,USA,Banned Pending Investigation
2724,"Arnold, Elana K.",Red Hood,Florida,School District of Manatee County,2022-07-01,USA,Banned from Libraries and Classrooms
2725,"Arnold, Elana K.",Red Hood,Florida,Volusia County Schools,2023-03-01,USA,Banned from Libraries and Classrooms
2726,"Arnold, Elana K.",Red Hood,Iowa,Carroll Community School District,2022-08-01,USA,Banned Pending Investigation
2727,"Arnold, Elana K.",Red Hood,Texas,Conroe Independent School District,2023-01-01,USA,Banned from Libraries and Classrooms
2728,"Arnold, Elana K.",Red Hood,Texas,Frisco Independent School District,2022-10-01,USA,Banned from Libraries and Classrooms
2729,"Arnold, Elana K.",Red Hood,Texas,Keller Independent School District,2022-09-01,USA,Banned from Libraries and Classrooms
2730,"Arnold, Elana K.",Red Hood,Utah,Alpine School District,2022-11-01,USA,Banned from Libraries
